Title,URL,Pub_Date,PoCOrganisation,Format,General classification of dataset type,Topic or theme,classification_and_access_restrictions,Point of contact,Contact Publisher,Publication status
Mapping erodible soils in the Fitzroy NRM Region series,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={F6F3E4D2-71D1-4E5D-8351-4EC0B6EF961A},24/04/2017,Department of Environment and Science,Esri File Geodatabase,Dataset,SOIL EROSION,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Modelled potential habitat for selected threatened species - Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={ED7DB3C0-2652-4B00-A00E-B9AD5BC05AF7},11/05/2015,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION,OFFICIAL,Melinda Laidlaw,Department of Environment and Science,completed
Pre-clearing broad vegetation groups - Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={34FA2F14-B647-40B2-88EF-F796A9BE4CBA},14/12/2018,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION,OFFICIAL,John Neldner,Department of Environment and Science,completed
Queensland agricultural land classes,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={405BEB64-9216-4502-839B-A94DD67EA961},29/01/2019,Department of Environment and Science,Esri File Geodatabase,Dataset,AGRICULTURE,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Queensland agricultural land classes - land class A and B with urban mask,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={295827F3-00CB-4091-B0A3-B3FD9649CA8E},29/01/2019,Department of Environment and Science,Esri File Geodatabase,Dataset,AGRICULTURE,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Queensland digital soil attributes - Burdekin River basin - Ca-Mg ratio,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={97583E64-8251-4919-BC95-4CC600A899BC},14/01/2016,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Queensland digital soil attributes - Burdekin River basin - clay,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={B6E0DEF7-DF3A-48EC-BCBF-275795100BE3},14/01/2016,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Queensland digital soil attributes - Burdekin River basin - coarse sand,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={839CB52F-17F2-4E27-B48A-A9C141818700},14/01/2016,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Queensland digital soil attributes - Burdekin River basin - depth to rock,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={095ACA10-B04B-4187-BDC2-D033FB367768},14/01/2016,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Queensland digital soil attributes - Burdekin River basin - effective CEC,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={4102CC55-4DEA-42F4-B6E6-0DCEA5FC1EF5},14/01/2016,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Queensland digital soil attributes - Burdekin River basin - electrical conductivity,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={413FB02B-0388-4ABF-A265-4D2E8AA60E35},14/01/2016,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Queensland digital soil attributes - Burdekin River basin - exchangeable sodium,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={2020407B-16EC-42A5-85B5-FCCA501B5923},14/01/2016,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Queensland digital soil attributes - Burdekin River basin - fine sand,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={7900E000-24AA-4DD3-A2B8-E3838EDA9D0D},14/01/2016,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Queensland digital soil attributes - Burdekin River basin - silt,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={3B68C0F7-E61F-4437-94B3-861DD45A47E1},14/01/2016,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Queensland digital soil attributes - Burdekin River basin - surface soil depth,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={E509376C-5E9F-4B21-A65C-D5682AADBFD3},14/01/2016,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Queensland digital soil attributes - Burdekin River basin - wilting point,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={1D09515E-02AB-49A0-A98C-1B0DE4024CE1},14/01/2016,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Queensland Ground Cover Disturbance Index,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={E2021208-DBCB-4963-A0F7-D4C7FD3150F2},14/05/2014,Department of Environment and Science,Esri File Geodatabase,Dataset,LAND USE/LAND COVER,OFFICIAL,Steven Howell,Department of Environment and Science,completed
Queensland soil survey sites - SALI_SITE,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={0B7EB39F-73C8-4079-9CEE-27C43A11821C},24/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Remnant 2017 broad vegetation groups - Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={43A2CB31-9D83-4BB9-ACE7-05E7BD271FE3},14/12/2018,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION,OFFICIAL,Tim Ryan,Department of Environment and Science,completed
Remnant vegetation cover - 2017 - Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={F5CF90D6-5881-4D8F-9581-D8F55D25F9CE},14/12/2018,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION,OFFICIAL,Tim Ryan,Department of Environment and Science,completed
Satellite image footprints and dates for SLATS analysis 1988 to 2012,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={04F163B3-F898-47E0-9411-BBCDEBC8D592},28/04/2015,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
Satellite image footprints and dates for SLATS analysis 2012 to 2018,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={B7FEF637-60E7-49D8-9B59-A4A626B992DC},18/12/2018,Department of Environment and Science,Esri File Geodatabase,Dataset,VEGETATION,OFFICIAL,Dan Tindall,Department of Environment and Science,completed
SILO climate database,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={59B411E9-9324-437A-91CE-CBEEC1A57CAA},21/02/2017,Department of Environment and Science,Esri File Geodatabase,Dataset,CLIMATE INDICATORS,OFFICIAL,Stephen Jeffrey,Department of Environment and Science,completed
SILO climate database - daily and monthly rainfall,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={BC3E9CA0-76A9-477B-82FB-124227900957},10/04/2014,Department of Environment and Science,Esri File Geodatabase,Dataset,CLIMATE INDICATORS,OFFICIAL,Stephen Jeffrey,Department of Environment and Science,completed
SILO climate database - evaporation - class A pan,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={F06FDA2F-A7A1-42C2-A169-739AEF012D5A},10/04/2014,Department of Environment and Science,Esri File Geodatabase,Dataset,CLIMATE INDICATORS,OFFICIAL,Stephen Jeffrey,Department of Environment and Science,completed
SILO climate database - evaporation - synthetic,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={55DFAC89-1863-424D-AA84-1A664DDB0F05},10/04/2014,Department of Environment and Science,Esri File Geodatabase,Dataset,CLIMATE INDICATORS,OFFICIAL,Stephen Jeffrey,Department of Environment and Science,completed
SILO climate database - maximum and minimum temperature,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={D560F2E5-D7E0-4299-BFAD-BC62BCCA3A27},10/04/2014,Department of Environment and Science,Esri File Geodatabase,Dataset,CLIMATE INDICATORS,OFFICIAL,Stephen Jeffrey,Department of Environment and Science,completed
SILO climate database - mean sea level pressure - 9 am,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={AAE60C7D-3F5E-49AB-9755-94F51127C3DB},10/04/2014,Department of Environment and Science,Esri File Geodatabase,Dataset,CLIMATE INDICATORS,OFFICIAL,Stephen Jeffrey,Department of Environment and Science,completed
SILO climate database - solar radiation,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={57C1D102-D035-43BC-B5B8-28B299EA5D49},10/04/2014,Department of Environment and Science,Esri File Geodatabase,Dataset,CLIMATE INDICATORS,OFFICIAL,Stephen Jeffrey,Department of Environment and Science,completed
SILO climate database - vapour pressure - 9 am,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={702526AC-7F22-4000-88DA-242EC15594B9},10/04/2014,Department of Environment and Science,Esri File Geodatabase,Dataset,CLIMATE INDICATORS,OFFICIAL,Stephen Jeffrey,Department of Environment and Science,completed
SILO Patched Point Data,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={0D1DF4A9-1D43-45E1-AC31-5A03BD93A406},14/02/2017,Department of Environment and Science,Esri File Geodatabase,Dataset,CLIMATE INDICATORS,OFFICIAL,Stephen Jeffrey,Department of Environment and Science,completed
Soil and land resource assessment of the Brisbane Valley - South East Queensland - BVL,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={66EE60FB-DFA0-435D-B58B-319641D38782},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soil and land resource project boundaries Queensland,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={C1EC3BBB-589C-48A9-9FEF-484F8482E4DE},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soil and land suitability of the alluvial flats of the Byee area - South East Queensland - IPB,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={3B91C420-AF05-4E02-8E36-3B814562C131},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soil and Landscape Grid Digital Soil Attribute Maps for Queensland series,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={22FF6F6F-95E9-4AFD-8EE1-8CC03AA7E919},14/01/2016,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soil survey of Ayr Research Station - North Queensland - ARS,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={B655932B-EDD5-4325-8A9B-FBD41295E0E8},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soil survey of Bundaberg Research Station - South East Queensland - BRS,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={C0E2DD0B-4A6A-4EA2-924F-927B5FD80F6F},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soil survey of Delta Horticultural Research Station - North Queensland - DHR,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={473E7DC6-6D74-45EF-A5E9-9F9AC2320073},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soil survey of Gatton Research Station - South East Queensland - GRS,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={01E89C3E-DB12-4304-A524-EBCE3645DC53},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soil survey of Kairi Research Station - Far North Queensland - KAI,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={84B4CC61-78E2-41CD-9A1B-B0E50FB2499D},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soil survey of Kingsthorpe Field Station - South East Queensland - KIN,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={F54E9153-7022-4CE8-81C7-18DCAE8235AA},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soil survey of part of the former CSIRO Narayen Research Station - Central Queensland - ZNRS,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={354B3A4B-10C4-40B3-BC4E-A4C610D00D32},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soil survey of Redlands Horticultural Research Station - South East Queensland - RHS,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={89E58098-7B27-4DCC-9C89-806710D7051D},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
Soil survey of South Johnstone Research Station - Far North Queensland - SJS,http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={A531E889-DF93-453C-A015-92CC19147FF0},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
"Soil survey of the cattle research station Belmont, Central Queensland - ZDW",http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={A162EB5F-BAD1-49FA-8E24-222DF352F166},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
"Soil survey of the CSIRO Lansdown Pasture Research Station, North Queensland - ZEC",http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={5006C965-5536-4060-B209-12C58B29E0F9},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
"Soil survey of the CSIRO Samford Pasture Research Station, South East Queensland - ZDX",http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={848C5EFE-A169-4833-86B6-05CDB7C5B28B},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
"Soil survey of the Eastern Darling Downs, South East Queensland - EDSCL",http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={1A61FC80-1AAE-4D92-9C02-42C2E2D48957},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
"Soil survey of the former CSIRO Beerwah Experimental Area, South East Queensland - ZCK",http://qldspatial.information.qld.gov.au/catalogue/custom/detail.page?fid={9D7ED637-E218-4797-8A21-4C356D270753},18/01/2020,Department of Environment and Science,Esri File Geodatabase,Dataset,SOILS,OFFICIAL,Kelly Bryant,Department of Environment and Science,completed
